Jugadores,Goles,Temporada
Joselu,1,2010-2011
Marco Pérez,1,2010-2011
Juan Valera,1,2010-2011
Vicente,1,2010-2011
Jeffrén,1,2010-2011
José Nunes,1,2010-2011
Carlos García,1,2010-2011
Daniel Aranzubia,1,2010-2011
Sebastián Eguren,1,2010-2011
Iván Marcano,1,2010-2011
Alberto Botía,1,2010-2011
Juanma Ortiz,1,2010-2011
Javier Portillo,1,2010-2011
Gonzalo Rodríguez,1,2010-2011
Grégory Arnolin,1,2010-2011
Laure,1,2010-2011
Ernesto Galán,1,2010-2011
Ion Ansotegi,1,2010-2011
Juan Rodríguez,1,2010-2011
Weligton,1,2010-2011
Modeste M'Bami,1,2010-2011
Nélson,1,2010-2011
Carlos Marchena,1,2010-2011
Henok Goitom,1,2010-2011
Pepe,1,2010-2011
Kris Stadsgaard,1,2010-2011
Mehmet Topal,1,2010-2011
Marcos Senna,1,2010-2011
Fabián Vargas,1,2010-2011
Jefferson Montero,1,2010-2011
Dani Estrada,1,2010-2011
Olivier Thomert,1,2010-2011
Jeffrey Sarpong,1,2010-2011
Ikechukwu Uche,1,2010-2011
Manuel Arana,1,2010-2011
Álvaro Cejudo,1,2010-2011
Marc Torrejón,1,2010-2011
Nacho Monreal,1,2010-2011
Javi Casquero,1,2010-2011
Filipe Luís,1,2010-2011
Pablo Orbaiz,1,2010-2011
Iván Bolado,1,2010-2011
Javier Calleja,1,2010-2011
Nacho Cases,1,2010-2011
Pablo Álvarez,1,2010-2011
José Manuel Catalá,1,2010-2011
Javier Farinós,1,2010-2011
Sergio Ballesteros,1,2010-2011
Cata Díaz,1,2010-2011
Kiko Femenía,1,2010-2011
Hernán Bernardello,1,2010-2011
Jesús Navas,1,2010-2011
Pedro Munitis,1,2010-2011
Raúl García,1,2010-2011
Martín Cáceres,1,2010-2011
Esteban Granero,1,2010-2011
Mehdi Lacen,1,2010-2011
Jérémy Mathieu,1,2010-2011
Víctor Sánchez,1,2010-2011
Markel Susaeta,1,2010-2011
Sergio Busquets,1,2010-2011
Xisco Muñoz,1,2010-2011
Romaric,1,2010-2011
Tote,1,2010-2011
Marcelo Silva,1,2010-2011
Federico Fazio,1,2010-2011
Martín Demichelis,1,2010-2011
Hedwiges Maduro,1,2010-2011
Maurizio Lanzaro,1,2010-2011
David Navarro,1,2010-2011
Carles Puyol,1,2010-2011
Ibrahim Afellay,1,2010-2011
Ayoze García,1,2010-2011
Edmílson,1,2010-2011
Adrián Sardinero,1,2010-2011
Urko Vera,1,2010-2011
Óscar Serrano,1,2010-2011
Iñigo Pérez,1,2010-2011
Marc Bartra,1,2010-2011
José Manuel Jurado,1,2010-2011
Apoño,2,2010-2011
Diego Colotto,2,2010-2011
Mario Suárez,2,2010-2011
Derek Boateng,2,2010-2011
Tiago Gomes,2,2010-2011
Fernando Soriano,2,2010-2011
Ander Herrera,2,2010-2011
Éver Banega,2,2010-2011
Valdo,2,2010-2011
Dani Alves,2,2010-2011
Juanfran Torres,2,2010-2011
Jaime Gavilán,2,2010-2011
David Zurutuza,2,2010-2011
Masoud Shojaei,2,2010-2011
Mikel San José,2,2010-2011
Diego Ifrán,2,2010-2011
Julien Escudé,2,2010-2011
Dejan Lekic,2,2010-2011
Lolo,2,2010-2011
Jordi Alba,2,2010-2011
Marius Stankevicius,2,2010-2011
Fernando,2,2010-2011
Iván Alonso,2,2010-2011
Aythami Artiles,2,2010-2011
Álvaro Domínguez,2,2010-2011
Paco Sutil,2,2010-2011
Jesús Dátolo,2,2010-2011
Elias,2,2010-2011
Sofiane Feghouli,2,2010-2011
Thiago Alcántara,2,2010-2011
Fernando Cavenaghi,2,2010-2011
Abdoulay Konko,2,2010-2011
Abraham Paz,2,2010-2011
Javi Márquez,2,2010-2011
Asier del Horno,2,2010-2011
Saïd Boutahar,2,2010-2011
Enzo Maresca,2,2010-2011
Alejandro Alfaro,2,2010-2011
Gastón Sangoy,2,2010-2011
Rafa Jordá,2,2010-2011
Koke,2,2010-2011
Castro,2,2010-2011
Sergio,2,2010-2011
Akihiro Ienaga,2,2010-2011
Xisco,2,2010-2011
Joan Capdevila,2,2010-2011
Gonzalo Colsa,2,2010-2011
Miguel Flaño,2,2010-2011
Quincy Owusu-Abeyie,2,2010-2011
Renato,2,2010-2011
Recio,2,2010-2011
Sergio Fernández,2,2010-2011
Andrés Guardado,2,2010-2011
Pablo Pinillos,2,2010-2011
Javier Arizmendi,2,2010-2011
Juan Albín,2,2010-2011
Henrique,2,2010-2011
Alberto Lopo,2,2010-2011
Leonardo Ponzio,2,2010-2011
Diego Rivas,2,2010-2011
Nano Rivas,2,2010-2011
Carlos Gurpegui,2,2010-2011
Miguel Ángel Corona,2,2010-2011
Xavi,3,2010-2011
Dani Parejo,3,2010-2011
Braulio Nóbrega,3,2010-2011
Seydou Keita,3,2010-2011
Jonas,3,2010-2011
Sergio Ramos,3,2010-2011
Sendoa Agirre,3,2010-2011
Riki,3,2010-2011
Víctor Casadesús,3,2010-2011
Jiri Jarosik,3,2010-2011
Juanlu,3,2010-2011
Albert Crusat,3,2010-2011
Marcelo,3,2010-2011
Duda,3,2010-2011
Diego Perotti,3,2010-2011
Walter Pandiani,3,2010-2011
Ariel Nahuelpán,3,2010-2011
Borja Valero,3,2010-2011
Bolaño,3,2010-2011
Iván Ramis,3,2010-2011
Imanol Agirretxe,3,2010-2011
Sergio García,3,2010-2011
Krisztián Vadócz,3,2010-2011
Gerard Piqué,3,2010-2011
Ricardo Carvalho,3,2010-2011
Royston Drenthe,4,2010-2011
Tiago Mendes,4,2010-2011
Álvaro Vázquez,4,2010-2011
Tino Costa,4,2010-2011
Juanmi,4,2010-2011
Javi Martínez,4,2010-2011
Nacho Novo,4,2010-2011
Emilio Nsue,4,2010-2011
Florent Sinama-Pongolle,4,2010-2011
Carlos Aranda,4,2010-2011
Ángel Lafita,4,2010-2011
Simão,4,2010-2011
Javier Camuñas,4,2010-2011
Joaquín,4,2010-2011
Andoni Iraola,4,2010-2011
Eliseu,4,2010-2011
Emmanuel Adebayor,5,2010-2011
Lassad Nouioui,5,2010-2011
Ivan Rakitic,5,2010-2011
Rubén Suárez,5,2010-2011
Marco Ruben,5,2010-2011
Mikel Aranburu,5,2010-2011
David Barral,5,2010-2011
Cani,5,2010-2011
Pablo Hernández,5,2010-2011
Joseba Llorente,5,2010-2011
Michaël Pereira,5,2010-2011
Jonathan de Guzmán,5,2010-2011
Igor Gabilondo,5,2010-2011
Santi Cazorla,5,2010-2011
Joan Verdú,5,2010-2011
Chory Castro,5,2010-2011
Giovani dos Santos,5,2010-2011
Iker Muniain,5,2010-2011
Nicolás Bertolo,5,2010-2011
Kennedy,6,2010-2011
Javad Nekounam,6,2010-2011
Diego Costa,6,2010-2011
Miguel de las Cuevas,6,2010-2011
Bojan Krkic,6,2010-2011
Luis García,6,2010-2011
David López,6,2010-2011
José Antonio Reyes,6,2010-2011
José Callejón,6,2010-2011
Ángel Di María,6,2010-2011
Mesut Özil,6,2010-2011
Leonardo Ulloa,7,2010-2011
Kike Sola,7,2010-2011
Raúl Tamudo,7,2010-2011
Gaizka Toquero,7,2010-2011
Miku,7,2010-2011
Pedro Ríos,7,2010-2011
Kalu Uche,7,2010-2011
Antoine Griezmann,7,2010-2011
Sebastián Fernández,7,2010-2011
Kaká,7,2010-2011
Xabi Prieto,7,2010-2011
Adrián Colunga,8,2010-2011
Cristhian Stuani,8,2010-2011
Nelson Valdez,8,2010-2011
Adrián López,8,2010-2011
Andrés Iniesta,8,2010-2011
Pablo Piatti,8,2010-2011
Diego Forlán,8,2010-2011
Juan Mata,8,2010-2011
Júlio Baptista,9,2010-2011
Markus Rosenberg,9,2010-2011
Diego Castro,9,2010-2011
Manu del Moral,9,2010-2011
Luís Fabiano,10,2010-2011
Aritz Aduriz,10,2010-2011
Gonzalo Higuaín,10,2010-2011
Nilmar,11,2010-2011
Pierre Webó,11,2010-2011
Gabi,11,2010-2011
Frédéric Kanouté,12,2010-2011
David Trezeguet,12,2010-2011
Pedro,13,2010-2011
Daniel Osvaldo,13,2010-2011
Felipe Caicedo,13,2010-2011
Salomón Rondón,14,2010-2011
Karim Benzema,15,2010-2011
Roberto Soldado,18,2010-2011
Fernando Llorente,18,2010-2011
Giuseppe Rossi,18,2010-2011
David Villa,18,2010-2011
Sergio Agüero,20,2010-2011
Álvaro Negredo,20,2010-2011
Lionel Messi,31,2010-2011
Cristiano Ronaldo,40,2010-2011
Duda,1,2011-2012
Pedro Botelho,1,2011-2012
Ángel López,1,2011-2012
Gorka Elustondo,1,2011-2012
Pedro León,1,2011-2012
Sergio Canales,1,2011-2012
Sergio Ballesteros,1,2011-2012
Tito,1,2011-2012
Alejandro Arribas,1,2011-2012
Roland Lamah,1,2011-2012
Lolo,1,2011-2012
Miguel Torres,1,2011-2012
Míchel Madera,1,2011-2012
Sergio Fernández,1,2011-2012
Rui Fonte,1,2011-2012
Andrija Delibasic,1,2011-2012
Leonardo Ponzio,1,2011-2012
Gustavo Cabral,1,2011-2012
Efraín Juárez,1,2011-2012
Martín Cáceres,1,2011-2012
Antonio Luna,1,2011-2012
Nacho,1,2011-2012
Ander Iturraspe,1,2011-2012
Álvaro González,1,2011-2012
Abel Gómez,1,2011-2012
Chechu Dorado,1,2011-2012
Jon Aurtenetxe,1,2011-2012
Miguel Flaño,1,2011-2012
Paulo da Silva,1,2011-2012
Javi Casquero,1,2011-2012
Josep Lluís Martí,1,2011-2012
Mikel González,1,2011-2012
Marc Torrejón,1,2011-2012
Federico Fazio,1,2011-2012
Miranda,1,2011-2012
Gonzalo Rodríguez,1,2011-2012
Maurizio Lanzaro,1,2011-2012
Mario Gaspar,1,2011-2012
Abraham Minero,1,2011-2012
Diego Maínz,1,2011-2012
Bolaño,1,2011-2012
Pablo Barrera,1,2011-2012
Cristian Gómez,1,2011-2012
Weligton,1,2011-2012
Xabi Alonso,1,2011-2012
Júlio Baptista,1,2011-2012
Koke,1,2011-2012
Hamit Altıntop,1,2011-2012
Rubén Pardo,1,2011-2012
Diego Ifrán,1,2011-2012
Jaime Romero,1,2011-2012
Gonzalo Colsa,1,2011-2012
Juanmi,1,2011-2012
Juan Albín,1,2011-2012
Juan Cala,1,2011-2012
Raphaël Varane,1,2011-2012
Pizzi,1,2011-2012
Tomislav Dujmovic,1,2011-2012
Alejandro Martinuccio,1,2011-2012
Ignacio Camacho,1,2011-2012
Carmelo,1,2011-2012
David López,1,2011-2012
Mikel Labaka,1,2011-2012
Nélson,1,2011-2012
Tomás Pina,1,2011-2012
Pepe,1,2011-2012
Javi López,1,2011-2012
Javier Camuñas,1,2011-2012
Sergio Busquets,1,2011-2012
Raúl Baena,1,2011-2012
Mehdi Lacen,1,2011-2012
Alberto Botía,1,2011-2012
Piotr Trochowski,1,2011-2012
Juan Valera,1,2011-2012
Javier Farinós,1,2011-2012
Jefferson Montero,1,2011-2012
Andoni Iraola,1,2011-2012
Ander Herrera,1,2011-2012
José Antonio Reyes,1,2011-2012
Adriano,1,2011-2012
Thievy Bifouma,1,2011-2012
Jaime Gavilán,1,2011-2012
Pape Diop,1,2011-2012
Dani Alves,2,2011-2012
Jordi Alba,2,2011-2012
Andrés Iniesta,2,2011-2012
Xabi Prieto,2,2011-2012
Gabi,2,2011-2012
Dani Estrada,2,2011-2012
Mikel Aranburu,2,2011-2012
Adil Rami,2,2011-2012
Alejandro Pozuelo,2,2011-2012
Lautaro Acosta,2,2011-2012
Carlos Aranda,2,2011-2012
Isaac Cuenca,2,2011-2012
Michaël Pereira,2,2011-2012
Iván Ramis,2,2011-2012
Álex Geijo,2,2011-2012
Bernardo Espinosa,2,2011-2012
Gary Medel,2,2011-2012
José Nunes,2,2011-2012
Alexis Ruano,2,2011-2012
Alejandro Gálvez,2,2011-2012
Ariel Nahuelpán,2,2011-2012
Gerard Piqué,2,2011-2012
Sebastián Eguren,2,2011-2012
Nano Rivas,2,2011-2012
Igor Gabilondo,2,2011-2012
Edu Oriol,2,2011-2012
Eliseu,2,2011-2012
Salva Sevilla,2,2011-2012
Emiliano Armenteros,2,2011-2012
Manuel Arana,2,2011-2012
Sami Khedira,2,2011-2012
Alejandro Alfaro,2,2011-2012
Roberto Trashorras,2,2011-2012
Thiago Alcántara,2,2011-2012
Koke,2,2011-2012
Jairo Samperio,2,2011-2012
Pedro Ríos,2,2011-2012
Joaquín,2,2011-2012
Abdelkader Ghezzal,2,2011-2012
Dídac Vilà,2,2011-2012
Pablo Piatti,2,2011-2012
José María Movilla,2,2011-2012
Iker Muniain,2,2011-2012
Vladimír Weiss,2,2011-2012
Diego Godín,2,2011-2012
Castro,2,2011-2012
Julien Escudé,2,2011-2012
Mikel San José,2,2011-2012
Enzo Maresca,2,2011-2012
Fran Rico,2,2011-2012
Rovérsio,2,2011-2012
Álvaro Giménez,2,2011-2012
Lass Bangoura,3,2011-2012
Martín Demichelis,3,2011-2012
Bruno Soriano,3,2011-2012
Cristian Tello,3,2011-2012
Adrián Colunga,3,2011-2012
Eduardo Salvio,3,2011-2012
Adrián González,3,2011-2012
Mikel Rico,3,2011-2012
Diego,3,2011-2012
Miguel de las Cuevas,3,2011-2012
Piti,3,2011-2012
Arda Turan,3,2011-2012
Marcelo,3,2011-2012
Giuseppe Rossi,3,2011-2012
Baba,3,2011-2012
Nacho Novo,3,2011-2012
Jérémy Toulalan,3,2011-2012
Iñigo Martínez,3,2011-2012
Carles Puyol,3,2011-2012
Álvaro Domínguez,3,2011-2012
Walter Pandiani,3,2011-2012
Emilio Nsue,3,2011-2012
Pablo Hernández,3,2011-2012
David Zurutuza,3,2011-2012
Ikechukwu Uche,3,2011-2012
Franco Jara,3,2011-2012
Carlos Martins,3,2011-2012
Ángel Lafita,3,2011-2012
Sergio Ramos,3,2011-2012
Fernando Amorebieta,3,2011-2012
Alberto Lora,3,2011-2012
Seydou Keita,3,2011-2012
Juankar,3,2011-2012
Romaric,3,2011-2012
Dani Güiza,3,2011-2012
Héctor Moreno,3,2011-2012
Javi Martínez,4,2011-2012
Óscar de Marcos,4,2011-2012
Jonathan Pereira,4,2011-2012
Gaizka Toquero,4,2011-2012
Mate Bilic,4,2011-2012
Hernán Pérez,4,2011-2012
Abdelaziz Barrada,4,2011-2012
Oscar Trejo,4,2011-2012
Iñigo López,4,2011-2012
Luis García,4,2011-2012
Ruud van Nistelrooy,4,2011-2012
Nilmar,4,2011-2012
Mesut Özil,4,2011-2012
Álvaro Cejudo,4,2011-2012
Gastón Sangoy,4,2011-2012
Dejan Lekic,4,2011-2012
Frédéric Kanouté,4,2011-2012
Xavi Torres,5,2011-2012
Jesús Navas,5,2011-2012
David Villa,5,2011-2012
Kaká,5,2011-2012
Álvaro Vázquez,5,2011-2012
Philippe Coutinho,5,2011-2012
Javad Nekounam,5,2011-2012
Sebastián Fernández,5,2011-2012
Joan Verdú,5,2011-2012
Borja Valero,5,2011-2012
José Callejón,5,2011-2012
Ángel Di María,5,2011-2012
Isco,5,2011-2012
Pedro,5,2011-2012
Tino Costa,5,2011-2012
Marcos Senna,5,2011-2012
Sergio García,5,2011-2012
Chory Castro,6,2011-2012
Sofiane Feghouli,6,2011-2012
Kalu Uche,6,2011-2012
Valdo,6,2011-2012
Markel Susaeta,6,2011-2012
Jorge Molina,6,2011-2012
Odion Ighalo,6,2011-2012
Nino,6,2011-2012
Beñat Etxebarria,6,2011-2012
Guilherme Siqueira,6,2011-2012
Apoño,6,2011-2012
Juanlu,6,2011-2012
Diego Castro,7,2011-2012
Roque Santa Cruz,7,2011-2012
Antoine Griezmann,7,2011-2012
Aritz Aduriz,7,2011-2012
Ibrahima Balde,7,2011-2012
José Javier Barkero,7,2011-2012
Adrián López,7,2011-2012
Rubén Suárez,8,2011-2012
Tomer Hemed,8,2011-2012
Cristhian Stuani,9,2011-2012
Víctor Casadesús,9,2011-2012
Santi Cazorla,9,2011-2012
Marco Ruben,9,2011-2012
Cesc Fàbregas,9,2011-2012
Hélder Postiga,9,2011-2012
Raúl Tamudo,9,2011-2012
David Barral,9,2011-2012
Diego Costa,10,2011-2012
Xavi,10,2011-2012
Manu del Moral,10,2011-2012
Jonas,10,2011-2012
Imanol Agirretxe,10,2011-2012
Salomón Rondón,11,2011-2012
Raúl García,11,2011-2012
Alexis Sánchez,11,2011-2012
Carlos Vela,12,2011-2012
Miku,12,2011-2012
Álvaro Negredo,14,2011-2012
Michu,15,2011-2012
Arouna Koné,15,2011-2012
Rubén Castro,16,2011-2012
Roberto Soldado,17,2011-2012
Fernando Llorente,17,2011-2012
Karim Benzema,21,2011-2012
Gonzalo Higuaín,22,2011-2012
Radamel Falcao,24,2011-2012
Cristiano Ronaldo,46,2011-2012
Lionel Messi,50,2011-2012
Juanmi,1,2012-2013
Diego Maínz,1,2012-2013
Jordi Amat,1,2012-2013
Rubén Pérez,1,2012-2013
Joseba Llorente,1,2012-2013
Pedro Bigas,1,2012-2013
Javier Camuñas,1,2012-2013
Emir Spahic,1,2012-2013
Mario Abrante,1,2012-2013
Rafa López,1,2012-2013
Alex Song,1,2012-2013
Raúl Albiol,1,2012-2013
Alberto Botía,1,2012-2013
Jérémy Mathieu,1,2012-2013
Rubén Rochina,1,2012-2013
Brayan Angulo,1,2012-2013
Roger Martí,1,2012-2013
Fábio Coentrão,1,2012-2013
Franco Zuculini,1,2012-2013
Francisco Silva,1,2012-2013
Nosa Igiebor,1,2012-2013
Federico Fernández,1,2012-2013
Antunes,1,2012-2013
Kevin García,1,2012-2013
Ángel Rodríguez,1,2012-2013
Nacho Martínez,1,2012-2013
Manu Onwu,1,2012-2013
Borja Oubiña,1,2012-2013
Álvaro González,1,2012-2013
Javi López,1,2012-2013
Pedro Geromel,1,2012-2013
Lluis Sastre,1,2012-2013
Carlos Gurpegui,1,2012-2013
Dani Benítez,1,2012-2013
Cristian Rodríguez,1,2012-2013
Iker Muniain,1,2012-2013
Víctor Sánchez,1,2012-2013
Josep Lluís Martí,1,2012-2013
Álex Bergantiños,1,2012-2013
Carlos Aranda,1,2012-2013
Pepe,1,2012-2013
Gustavo Cabral,1,2012-2013
Michaël Pereira,1,2012-2013
Juan Domínguez,1,2012-2013
Patxi Puñal,1,2012-2013
Manu del Moral,1,2012-2013
Alberto Lopo,1,2012-2013
Raúl Baena,1,2012-2013
Borja Fernández,1,2012-2013
David Timor,1,2012-2013
Nacho Monreal,1,2012-2013
Antonio Rukavina,1,2012-2013
David Navarro,1,2012-2013
Diego Godín,1,2012-2013
Tito,1,2012-2013
Filipe Luís,1,2012-2013
Sergio Busquets,1,2012-2013
Geoffrey Kondogbia,1,2012-2013
Mario Suárez,1,2012-2013
Ander Herrera,1,2012-2013
Cicinho,1,2012-2013
Lolo,1,2012-2013
Miguel de las Cuevas,1,2012-2013
Martín Montoya,1,2012-2013
Mané,1,2012-2013
Juan Carlos Valerón,1,2012-2013
Omar Ramos,1,2012-2013
Tino Costa,1,2012-2013
Roberto Trashorras,1,2012-2013
Carlos Martínez,1,2012-2013
Eliseu,1,2012-2013
Dani Parejo,1,2012-2013
Pablo Piatti,1,2012-2013
Juanfran Torres,1,2012-2013
Andrés Guardado,1,2012-2013
Jon Aurtenetxe,1,2012-2013
Carles Puyol,1,2012-2013
Masoud Shojaei,1,2012-2013
Pablo Sarabia,1,2012-2013
Javi Baraja,1,2012-2013
Sergio Tejera,1,2012-2013
Ángel López,1,2012-2013
Alejandro Pozuelo,1,2012-2013
Antonio Floro Flores,1,2012-2013
Sergio Escudero,1,2012-2013
Salvador Agra,1,2012-2013
Gorka Elustondo,1,2012-2013
Juan Albín,1,2012-2013
Rodolfo Bodipo,1,2012-2013
Roberto Torres,1,2012-2013
Raúl Tamudo,1,2012-2013
Fabrice Olinga,1,2012-2013
Pedro Ríos,2,2012-2013
Ángel Lafita,2,2012-2013
Diego Colotto,2,2012-2013
José Carlos,2,2012-2013
Ignacio Camacho,2,2012-2013
Weligton,2,2012-2013
Jonathan Viera,2,2012-2013
Álex López,2,2012-2013
Miranda,2,2012-2013
Mikel González,2,2012-2013
Héctor Moreno,2,2012-2013
Nabil El Zhar,2,2012-2013
Aly Cissokho,2,2012-2013
Salva Sevilla,2,2012-2013
Roland Lamah,2,2012-2013
Sergio Canales,2,2012-2013
Francisco Portillo,2,2012-2013
Jordi Alba,2,2012-2013
Thiago Alcántara,2,2012-2013
Diego Buonanotte,2,2012-2013
David Zurutuza,2,2012-2013
Emilio Nsue,2,2012-2013
Víctor Rodríguez,2,2012-2013
Michael Krohn-Dehli,2,2012-2013
Joel Campbell,2,2012-2013
Diego Ifrán,2,2012-2013
Gerard Piqué,2,2012-2013
Juanlu,2,2012-2013
Paulão,2,2012-2013
Carlos Marchena,2,2012-2013
Tiago Mendes,2,2012-2013
Michael Essien,2,2012-2013
Raoul Loé,2,2012-2013
Christian Lell,2,2012-2013
Javier Arizmendi,2,2012-2013
Álvaro Morata,2,2012-2013
Juan Rodríguez,2,2012-2013
Piotr Trochowski,2,2012-2013
Mikel Rico,2,2012-2013
Alejandro Arribas,2,2012-2013
Juan Valera,2,2012-2013
Cristian Săpunaru,2,2012-2013
Diogo Salomão,2,2012-2013
Recio,2,2012-2013
Natxo Insa,2,2012-2013
Sílvio,2,2012-2013
Rodri Ríos,2,2012-2013
Paco Alcácer,3,2012-2013
Chu-young Park,3,2012-2013
Nino,3,2012-2013
Adrián López,3,2012-2013
Nolito,3,2012-2013
Samuele Longo,3,2012-2013
Javi Márquez,3,2012-2013
Sami Khedira,3,2012-2013
Simão,3,2012-2013
Gabriel Torje,3,2012-2013
Alberto de la Bella,3,2012-2013
José Callejón,3,2012-2013
Luka Modrić,3,2012-2013
Abel Aguilar,3,2012-2013
Pedro Morales,3,2012-2013
Coke,3,2012-2013
Kaká,3,2012-2013
Quique de Lucas,3,2012-2013
Federico Fazio,3,2012-2013
Robert Acquafresca,3,2012-2013
Franco Vázquez,3,2012-2013
Alexis Ruano,3,2012-2013
Emiliano Armenteros,3,2012-2013
Lass Bangoura,3,2012-2013
Álvaro Cejudo,3,2012-2013
Mubarak Wakaso,3,2012-2013
Sofiane Feghouli,3,2012-2013
Pedro León,3,2012-2013
Koke,3,2012-2013
Andrés Iniesta,3,2012-2013
Víctor Pérez,4,2012-2013
Sergio Ramos,4,2012-2013
Ricardo Costa,4,2012-2013
Nélson Oliveira,4,2012-2013
Martín Demichelis,4,2012-2013
Iñigo Martínez,4,2012-2013
Júlio Baptista,4,2012-2013
Fernando Llorente,4,2012-2013
Vicente Iborra,4,2012-2013
Rubén García,4,2012-2013
Éver Banega,4,2012-2013
Abdelaziz Barrada,4,2012-2013
Beñat Etxebarria,4,2012-2013
José Antonio Reyes,4,2012-2013
Joaquín,4,2012-2013
Ibai Gómez,4,2012-2013
Álvaro Vázquez,5,2012-2013
Mario Bermejo,5,2012-2013
Mikel San José,5,2012-2013
Adriano,5,2012-2013
Paco Montañés,5,2012-2013
José Javier Barkero,5,2012-2013
Raúl García,5,2012-2013
Odion Ighalo,5,2012-2013
Alberto Bueno,5,2012-2013
Arda Turan,5,2012-2013
Míchel Herrero,5,2012-2013
Alejandro Domínguez,5,2012-2013
Xavi,5,2012-2013
Nelson Valdez,6,2012-2013
Alejandro Alfaro,6,2012-2013
Óscar de Marcos,6,2012-2013
Andrija Delibasic,6,2012-2013
Gary Medel,6,2012-2013
Guilherme Siqueira,6,2012-2013
Adrián Colunga,6,2012-2013
Bruno Gama,6,2012-2013
Giovani dos Santos,6,2012-2013
Patrick Ebert,6,2012-2013
Augusto Fernández,6,2012-2013
Chory Castro,6,2012-2013
Diego Castro,7,2012-2013
Ángel Di María,7,2012-2013
Léo Baptistão,7,2012-2013
Obafemi Martins,7,2012-2013
Pedro,7,2012-2013
Markel Susaeta,7,2012-2013
Cristhian Stuani,7,2012-2013
Sergio García,7,2012-2013
Cristian Tello,7,2012-2013
Javi Guerra,8,2012-2013
Youssef El Arabi,8,2012-2013
Roque Santa Cruz,8,2012-2013
Javier Saviola,8,2012-2013
Dorlan Pabón,8,2012-2013
Manucho,8,2012-2013
Víctor Casadesús,8,2012-2013
Pizzi,8,2012-2013
Alexis Sánchez,8,2012-2013
Ivan Rakitic,8,2012-2013
Isco,9,2012-2013
Kike Sola,9,2012-2013
Apoño,9,2012-2013
Xabi Prieto,9,2012-2013
Joan Verdú,9,2012-2013
Mesut Özil,9,2012-2013
Antoine Griezmann,10,2012-2013
David Villa,10,2012-2013
Diego Costa,10,2012-2013
Tomer Hemed,11,2012-2013
Karim Benzema,11,2012-2013
Cesc Fàbregas,11,2012-2013
Óscar González,12,2012-2013
Iago Aspas,12,2012-2013
Jorge Molina,13,2012-2013
Riki,13,2012-2013
Jonas,13,2012-2013
Hélder Postiga,14,2012-2013
Imanol Agirretxe,14,2012-2013
Aritz Aduriz,14,2012-2013
Carlos Vela,14,2012-2013
Gonzalo Higuaín,16,2012-2013
Rubén Castro,18,2012-2013
Piti,18,2012-2013
Roberto Soldado,24,2012-2013
Álvaro Negredo,25,2012-2013
Radamel Falcao,28,2012-2013
Cristiano Ronaldo,34,2012-2013
Lionel Messi,46,2012-2013
Hicham Khaloua,1,2013-2014
Fran Vélez,1,2013-2014
Ángel Trujillo,1,2013-2014
Jesús Rueda,1,2013-2014
Manuel Iturra,1,2013-2014
David Navarro,1,2013-2014
Hélder Barbosa,1,2013-2014
David Lombán,1,2013-2014
Marco Torsiglieri,1,2013-2014
Sebastián Dubarbier,1,2013-2014
Borja Oubiña,1,2013-2014
Jordi Figueras,1,2013-2014
Gustavo Cabral,1,2013-2014
Gorka Elustondo,1,2013-2014
Víctor Pérez,1,2013-2014
Adrián González,1,2013-2014
Álvaro Arroyo,1,2013-2014
Weligton,1,2013-2014
Marc Valiente,1,2013-2014
Valdet Rama,1,2013-2014
Fernando Tissone,1,2013-2014
Lorenzo Reyes,1,2013-2014
Antonio Amaya,1,2013-2014
Aarón Ñíguez,1,2013-2014
Cristian Rodríguez,1,2013-2014
Marc Bartra,1,2013-2014
Óliver Torres,1,2013-2014
Diego,1,2013-2014
Pedro Ríos,1,2013-2014
Sami Khedira,1,2013-2014
Braian Rodríguez,1,2013-2014
Diego Perotti,1,2013-2014
Juan Cala,1,2013-2014
Gilberto García,1,2013-2014
Miguel Ángel Corona,1,2013-2014
Cristian Tello,1,2013-2014
Léo Baptistão,1,2013-2014
Alberto de la Bella,1,2013-2014
Víctor Casadesús,1,2013-2014
Pablo Pérez,1,2013-2014
Garry Rodrigues,1,2013-2014
Kike Sola,1,2013-2014
Mario Gaspar,1,2013-2014
Alejandro Arribas,1,2013-2014
Antonio Rukavina,1,2013-2014
Pedro López,1,2013-2014
Sergio Busquets,1,2013-2014
Simão,1,2013-2014
Damián Suárez,1,2013-2014
Anaitz Arbilla,1,2013-2014
Fausto Rossi,1,2013-2014
Jaume Costa,1,2013-2014
Jordi Xumetra,1,2013-2014
Beñat Etxebarria,1,2013-2014
Adrián López,1,2013-2014
Diogo Figueiras,1,2013-2014
Éver Banega,1,2013-2014
Jonathan Zongo,1,2013-2014
Manu Lanzarote,1,2013-2014
Juanfran Moreno,1,2013-2014
Mateo Musacchio,1,2013-2014
Héctor Moreno,1,2013-2014
Juan Bernat,1,2013-2014
Jeison Murillo,1,2013-2014
David Zurutuza,1,2013-2014
Patxi Puñal,1,2013-2014
Roberto Trashorras,1,2013-2014
Marcelo,1,2013-2014
Luka Modrić,1,2013-2014
Pablo Sarabia,1,2013-2014
Javier Aquino,1,2013-2014
Diego Castro,1,2013-2014
Cote,1,2013-2014
Carlos Peña,1,2013-2014
Andoni Iraola,1,2013-2014
Óscar González,1,2013-2014
Carles Gil,1,2013-2014
Markel Bergara,1,2013-2014
Pedro Morales,1,2013-2014
Hernán Pérez,1,2013-2014
Toby Alderweireld,1,2013-2014
